Ragione sociale;Partita IVA;Provincia;Indirizzo sede legale Regione; ultimo Bilancio Ricav delle vendite ;SISTEMA PREVALENTE
BRESSANO MOBILI SRL;311220040;Cuneo;Piemonte;942606;Sistema ARREDAMENTO
VALNOVA SRL;3679540165;Bergamo;Lombardia;938746;Sistema ARREDAMENTO
ZANETTI MURANO SRL;3960210270;Venezia;Veneto;934492;Sistema ARREDAMENTO
DESSIE  SRL;1379570466;Lucca;Toscana;927229;Sistema ARREDAMENTO
MUTINELLI SRL ;2366870281;Padova;Veneto;922321;Sistema ARREDAMENTO
BRAIDA E ORTOLAN INTERNI SRL;4288160262;Udine;Friuli-Venezia Giulia;914645;Sistema ARREDAMENTO
ICF INDUSTRIE CARNOVALI;9399710152;Milano;Lombardia;909880;Sistema ARREDAMENTO
MASSERANO SRL;2427800020;Biella;Piemonte;906580;Sistema ARREDAMENTO
INTERNATIONAL MARMI SRL;1995380506;Pisa;Toscana;906132;Sistema ARREDAMENTO
CIS COMP ITALIANA SALOTTI;1197430414;Pesaro Urbino;Marche;905958;Sistema ARREDAMENTO
TRABALDO SRL;2008470243;Vicenza;Veneto;894469;Sistema ARREDAMENTO
MACONI SRL;2193340961;Monza e della Brianza;Lombardia;885176;Sistema ARREDAMENTO
LM MANZONI SRL;2740210162;Bergamo;Lombardia;881525;Sistema ARREDAMENTO
FAMA SRL;3482690231;Verona;Veneto;879828;Sistema ARREDAMENTO
ROSINI SRL (RM);6317781000;Roma;Lazio;874562;Sistema ARREDAMENTO
PASSEPARTOUT SRL;3158320139;Como;Lombardia;871644;Sistema ARREDAMENTO
VALDICHIENTI SRL;876820432;Macerata;Marche;868264;Sistema ARREDAMENTO
GALIMBERTI E CO. SRL;2218550131;Como;Lombardia;864754;Sistema ARREDAMENTO
MOBILIFICIO DOMUS SRL;122220502;Pisa;Toscana;862165;Sistema ARREDAMENTO
ALMA DESIGN SRL;2854570989;Brescia;Lombardia;859069;Sistema ARREDAMENTO
TANCREDI SRL;171340243;Vicenza;Veneto;849587;Sistema ARREDAMENTO
ANDREOLA RETI SRL;4300570266;Treviso;Veneto;843909;Sistema ARREDAMENTO
BOTTEGA DEL SOFFITTO SRL;696920263;Treviso;Veneto;842270;Sistema ARREDAMENTO
MARIONI SRL;3667600484;Firenze;Toscana;838545;Sistema ARREDAMENTO
RICAM ART SRL;109570473;Pistoia;Toscana;833959;Sistema ARREDAMENTO
DECORA ITALIA SRL;3906360239;Verona;Veneto;828376;Sistema ARREDAMENTO
RUDIANA SRL;494890247;Vicenza;Veneto;821095;Sistema ARREDAMENTO
DG CORNICI SRL;5465291218;Napoli;Campania;815760;Sistema ARREDAMENTO
MAZZEI SRL;699510509;Pisa;Toscana;814231;Sistema ARREDAMENTO
BULFONI FRANCO SRL;2183900303;Udine;Friuli-Venezia Giulia;810962;Sistema ARREDAMENTO
PITA SRL;6736251213;Caserta;Campania;801086;Sistema ARREDAMENTO
BLIFASE SRL;2266890306;Udine;Friuli-Venezia Giulia;800979;Sistema ARREDAMENTO
ITALO GORI SRL;4868040488;Firenze;Toscana;800203;Sistema ARREDAMENTO
COLOMBO 907 SRL;1740700131;Como;Lombardia;799904;Sistema ARREDAMENTO
IMAG SRL;235490240;Vicenza;Veneto;799151;Sistema ARREDAMENTO
HAREM SRL -;3381380652;Salerno;Campania;797508;Sistema ARREDAMENTO
CO.IDEAS SRL;2006330035;Novara;Piemonte;797452;Sistema ARREDAMENTO
AGOSTINI MOBILI SRL;1257510501;Pisa;Toscana;795323;Sistema ARREDAMENTO
MACRA FABBRICA CUCINE SRL;1614270351;Reggio nell'Emilia;Emilia-Romagna;794801;Sistema ARREDAMENTO
BILLIARDS MBM SRL;11436941006;Roma;Lazio;793473;Sistema ARREDAMENTO
CORO SRL;4571530262;Treviso;Veneto;792480;Sistema ARREDAMENTO
MP 2 SRL;974351009;Roma;Lazio;791530;Sistema ARREDAMENTO
MARZORATI SRL;197690134;Como;Lombardia;791109;Sistema ARREDAMENTO
FLEXBED SRL;289450603;Roma;Lazio;782476;Sistema ARREDAMENTO
SEDIE LIVENZA SRL;1135740932;Pordenone;Friuli-Venezia Giulia;781982;Sistema ARREDAMENTO
BONACINA1889 SRL;1192730131;Como;Lombardia;777912;Sistema ARREDAMENTO
S.T.M. SEMILAVORATI;195720503;Pisa;Toscana;777909;Sistema ARREDAMENTO
BARJ BUZZONI SRL;574660346;Parma;Emilia-Romagna;775053;Sistema ARREDAMENTO
DUAL SRL;341040269;Treviso;Veneto;775000;Sistema ARREDAMENTO
ARMETTA PIETRO SRL;10276900155;Milano;Lombardia;773056;Sistema ARREDAMENTO
SCALI SALVATORE SRL;984470500;Pisa;Toscana;772151;Sistema ARREDAMENTO
RESTART SRL;4348720485;Firenze;Toscana;765526;Sistema ARREDAMENTO
FAVETTA CUCINE SRL;1671690681;Pescara;Abruzzo;758559;Sistema ARREDAMENTO
ARIS SRL;2942170172;Brescia;Lombardia;751208;Sistema ARREDAMENTO
COVO SRL;5298871004;Roma;Lazio;749243;Sistema ARREDAMENTO
META SRL;1695700987;Brescia;Lombardia;746284;Sistema ARREDAMENTO
SEZZATINI FRANCO SRL;3516320482;Firenze;Toscana;738101;Sistema ARREDAMENTO
IL FILO DEI SOGNI SRL;5645590968;Lodi;Lombardia;734927;Sistema ARREDAMENTO
MIDARTE SRL;2740800962;Monza e della Brianza;Lombardia;722131;Sistema ARREDAMENTO
R.C.M. SRL;3055090967;Monza e della Brianza;Lombardia;721183;Sistema ARREDAMENTO
DEKOR TOSCANA SRL;1171270513;Arezzo;Toscana;716238;Sistema ARREDAMENTO
EUROGROUP SRL;1398710424;Ancona;Marche;713849;Sistema ARREDAMENTO
PAOLO COLOMBO SRL;2077490965;Monza e della Brianza;Lombardia;712061;Sistema ARREDAMENTO
ZANI MARCELLO SRL;3922490481;Firenze;Toscana;711574;Sistema ARREDAMENTO
ARTIGIANATO CERAMICO SRL;5011580650;Salerno;Campania;709476;Sistema ARREDAMENTO
DUE DI SRL;1339510479;Pistoia;Toscana;704796;Sistema ARREDAMENTO
L ARCOLAIO SRL;647770676;Teramo;Abruzzo;700152;Sistema ARREDAMENTO
C.T.S. SALOTTI -SRL;787200963;Monza e della Brianza;Lombardia;693464;Sistema ARREDAMENTO
CRISTIAN SRL;524010287;Padova;Veneto;690298;Sistema ARREDAMENTO
CHIAVEGATO SRL UNIPERSONALE;3200070237;Verona;Veneto;685881;Sistema ARREDAMENTO
ITALEXPORT SRL;2186650236;Verona;Veneto;685170;Sistema ARREDAMENTO
CALESTANI SRL;2645630340;Parma;Emilia-Romagna;684886;Sistema ARREDAMENTO
TEKHNE SRL;500240312;Gorizia;Friuli-Venezia Giulia;682742;Sistema ARREDAMENTO
MOBILIFICIO GRANZOTTO SRL;2484380262;Treviso;Veneto;680687;Sistema ARREDAMENTO
E.M. SRL;521970137;Como;Lombardia;679137;Sistema ARREDAMENTO
OWOOD SRL;2249840303;Udine;Friuli-Venezia Giulia;675085;Sistema ARREDAMENTO
BELLO SEDIE SRL;3835280284;Padova;Veneto;674282;Sistema ARREDAMENTO
EUROSTILE SRL;804740470;Pistoia;Toscana;670316;Sistema ARREDAMENTO
LEONE MOBILI SRL;67560136;Como;Lombardia;670049;Sistema ARREDAMENTO
I.C.T. WISSENBACH ITALIA SRL;3359690264;Venezia;Veneto;667406;Sistema ARREDAMENTO
SIMAM SPA;861070969;Monza e della Brianza;Lombardia;663542;Sistema ARREDAMENTO
CALL SALOTTI S.R.L;1386020471;Pistoia;Toscana;661390;Sistema ARREDAMENTO
SEDAM SRL;1931380743;Brindisi;Puglia;658899;Sistema ARREDAMENTO
B.L. MOBILI SRL;1759920232;Verona;Veneto;656650;Sistema ARREDAMENTO
THERMAT SRL;1707620975;Prato;Toscana;655378;Sistema ARREDAMENTO
BITOSSI CERAMICHE SRL;383810488;Firenze;Toscana;653744;Sistema ARREDAMENTO
BUSNELLI ADAMO SRL;680880960;Monza e della Brianza;Lombardia;652799;Sistema ARREDAMENTO
CRISTALLERIE GALBIATI SRL;938100153;Milano;Lombardia;652625;Sistema ARREDAMENTO
MATRIX INTERNATIONAL SRL;876710526;Siena;Toscana;648361;Sistema ARREDAMENTO
AMELI SEDIE SRL;1705900502;Pisa;Toscana;639125;Sistema ARREDAMENTO
LA SEDIA SRL;1011320304;Udine;Friuli-Venezia Giulia;638395;Sistema ARREDAMENTO
IRAS SRL;2297340602;Chieti;Abruzzo;636536;Sistema ARREDAMENTO
CASALI SRL;1848590137;Como;Lombardia;631037;Sistema ARREDAMENTO
CORNO SRL;404810301;Udine;Friuli-Venezia Giulia;629451;Sistema ARREDAMENTO
S.I.L.L. SRL;193890134;Como;Lombardia;629272;Sistema ARREDAMENTO
NALINI SRL;3342380239;Verona;Veneto;625876;Sistema ARREDAMENTO
BACCI STILE SRL;1838860508;Pisa;Toscana;625609;Sistema ARREDAMENTO
CASTELLO SRL;500260260;Treviso;Veneto;617704;Sistema ARREDAMENTO
LUNARDELLI EGIDIO SRL;7258450969;Monza e della Brianza;Lombardia;615042;Sistema ARREDAMENTO
KHAOS SRL;3035840135;Como;Lombardia;614239;Sistema ARREDAMENTO
HELIX SPRING SRL;4378640827;Palermo;Sicilia;612953;Sistema ARREDAMENTO
EBANART SRL;145560249;Vicenza;Veneto;611768;Sistema ARREDAMENTO
ASTA COR SRL;3414950232;Verona;Veneto;611524;Sistema ARREDAMENTO
FARBEL SRL;673560983;Brescia;Lombardia;608857;Sistema ARREDAMENTO
MAISON CLAIRE SRL;1889570022;Vercelli;Piemonte;604992;Sistema ARREDAMENTO
SCHIAVINATO SRL;4200950261;Treviso;Veneto;597738;Sistema ARREDAMENTO
B-DESIGN SRL;5959180968;Milano;Lombardia;583200;Sistema ARREDAMENTO
SIBANIA SRL;2860770243;Vicenza;Veneto;580939;Sistema ARREDAMENTO
PA.MA. SRL;2947630659;Salerno;Campania;574140;Sistema ARREDAMENTO
NEWS SRL;898300967;Monza e della Brianza;Lombardia;566010;Sistema ARREDAMENTO
F.L.A.I. SRL;2009240280;Padova;Veneto;564533;Sistema ARREDAMENTO
4 C CUCINE SRL;5463520725;Bari;Puglia;563027;Sistema ARREDAMENTO
TURA INIZIATIVE SRL;7647310155;Milano;Lombardia;562707;Sistema ARREDAMENTO
CHIAVARI SRL;2702710548;Perugia;Umbria;555973;Sistema ARREDAMENTO
NUOVA C.M.C. SRL;204380935;Pordenone;Friuli-Venezia Giulia;548343;Sistema ARREDAMENTO
FCM SRL;1520370428;Roma;Lazio;546605;Sistema ARREDAMENTO
PAL MOBILI SRL;1553580133;Como;Lombardia;545109;Sistema ARREDAMENTO
SIRECOM TAPPETI SRL;3937330961;Milano;Lombardia;544375;Sistema ARREDAMENTO
MUSSI ITALY SRL;717860969;Monza e della Brianza;Lombardia;543571;Sistema ARREDAMENTO
MACCHI MOBILI SRL;1231140508;Pisa;Toscana;525565;Sistema ARREDAMENTO
G.M. ARREDAMENTI SRL;2135830236;Verona;Veneto;523384;Sistema ARREDAMENTO
FLORENCE ART SRL;5587960484;Firenze;Toscana;522957;Sistema ARREDAMENTO
VACCARI CAV. GIOVANNI SRL;3425110230;Verona;Veneto;520342;Sistema ARREDAMENTO
P.L.M. SRL;2562400230;Verona;Veneto;516112;Sistema ARREDAMENTO
ALUMODO SRL;2795130125;Varese;Lombardia;515734;Sistema ARREDAMENTO
REMIRO SRL;1003620281;Padova;Veneto;504637;Sistema ARREDAMENTO
KOSMOLUX SRL;137710208;Verona;Veneto;502206;Sistema ARREDAMENTO
INDAR CARMET SRL;10804510153;Milano;Lombardia;494216;Sistema ARREDAMENTO
FONDERIA ARTISTICA RUOCCO;4998991212;Napoli;Campania;490246;Sistema ARREDAMENTO
SELEZIONI DOMUS SRL;4218720482;Firenze;Toscana;485284;Sistema ARREDAMENTO
BRUNELLO 1974 SRL;1854150388;Vicenza;Veneto;483757;Sistema ARREDAMENTO
APP DESIGN SRL;571570241;Vicenza;Veneto;474066;Sistema ARREDAMENTO
CANTALUPPI SRL;269940136;Como;Lombardia;473888;Sistema ARREDAMENTO
ANSELMO BONORA SRL;778940965;Monza e della Brianza;Lombardia;471625;Sistema ARREDAMENTO
MUSCERINO CORNICI SRL;2849361213;Napoli;Campania;469242;Sistema ARREDAMENTO
TLM SRL;3873140234;Verona;Veneto;461153;Sistema ARREDAMENTO
MOBILIFICIO DIELLE SRL;3416280240;Vicenza;Veneto;459532;Sistema ARREDAMENTO
PAPANDREA SRL;1055870800;Reggio di Calabria;Calabria;459264;Sistema ARREDAMENTO
FRANCO MONZIO COMPAGNONI SRL;3349930168;Bergamo;Lombardia;458836;Sistema ARREDAMENTO
EMPORIO SAN FIRENZE SRL;623830486;Firenze;Toscana;457295;Sistema ARREDAMENTO
ORIGGI SALOTTI SRL;2028530133;Como;Lombardia;456116;Sistema ARREDAMENTO
LEARDINI 1964 SRL;118000231;Verona;Veneto;447898;Sistema ARREDAMENTO
L ABBATE SRL;2406830303;Udine;Friuli-Venezia Giulia;446825;Sistema ARREDAMENTO
C.V.C. SRL;6535570722;Bari;Puglia;438473;Sistema ARREDAMENTO
SCEP SRL;4676310636;Napoli;Campania;435021;Sistema ARREDAMENTO
ANTONIO CIULLI SRL;4471480485;Firenze;Toscana;434587;Sistema ARREDAMENTO
FIAMBERTI SRL;178010419;Pesaro Urbino;Marche;429744;Sistema ARREDAMENTO
SOLDIDESIGN SRL;6301700487;Firenze;Toscana;427917;Sistema ARREDAMENTO
TYCHE SRL;4866480967;Monza e della Brianza;Lombardia;427619;Sistema ARREDAMENTO
EBANISTERIA BACCI SRL;1838820502;Pisa;Toscana;422907;Sistema ARREDAMENTO
BYZANT ITALIA SRL;6494870725;Bari;Puglia;421913;Sistema ARREDAMENTO
KUBEDESIGN SRL;2560040426;Ancona;Marche;420167;Sistema ARREDAMENTO
CASA D ARTE PAOLETTI SRL;5011480489;Firenze;Toscana;420106;Sistema ARREDAMENTO
NUOVA URSUS 2000 SRL;1028750501;Pisa;Toscana;415491;Sistema ARREDAMENTO
R.C. DI ROSTI SRL;1451220360;Modena;Emilia-Romagna;415131;Sistema ARREDAMENTO
ARKOF LABODESIGN SRL;3702090162;Bergamo;Lombardia;412632;Sistema ARREDAMENTO
QUARANTA6 SRL;7212490960;Milano;Lombardia;410981;Sistema ARREDAMENTO
FABER MOBILI SRL;3520350244;Vicenza;Veneto;407624;Sistema ARREDAMENTO
CARLO E PIERA RATTI;698910965;Monza e della Brianza;Lombardia;400792;Sistema ARREDAMENTO
SELEZIONE TESSUTI;1386260127;Varese;Lombardia;400153;Sistema ARREDAMENTO
MARCONCINI STILE SRL;2924340231;Verona;Veneto;395318;Sistema ARREDAMENTO
LINIT SRL;2105591206;Bologna;Emilia-Romagna;392516;Sistema ARREDAMENTO
LUX FORM SRL;4521670721;Bari;Puglia;391203;Sistema ARREDAMENTO
CUCINE SINCEROTTO SRL;19410307;Udine;Friuli-Venezia Giulia;387668;Sistema ARREDAMENTO
NEW BAULINE SRL;2946090731;Taranto;Puglia;387491;Sistema ARREDAMENTO
VILLANOVA ITALIA SRL;4130370234;Verona;Veneto;387447;Sistema ARREDAMENTO
EIDOS GLASS SRL;4956280723;Barletta-Andria-Trani;Puglia;387214;Sistema ARREDAMENTO
VALLE D ORO PATCHI SRL;634620249;Vicenza;Veneto;385808;Sistema ARREDAMENTO
CIQUADRO SRL;3280740139;Como;Lombardia;380966;Sistema ARREDAMENTO
LINEA IN SRL;1930230600;Frosinone;Lazio;377047;Sistema ARREDAMENTO
CRECCHI IDEE CUCINA SRL;1065300509;Pisa;Toscana;375219;Sistema ARREDAMENTO
TIEMME IMBOTTITI SRL;6551970962;Monza e della Brianza;Lombardia;372710;Sistema ARREDAMENTO
BLUM SRL;1088310162;Bergamo;Lombardia;370590;Sistema ARREDAMENTO
FRANCOMARIO SRL;4125970238;Verona;Veneto;368332;Sistema ARREDAMENTO
STILE ELISA SRL;2653460234;Verona;Veneto;365193;Sistema ARREDAMENTO
MOBI  SRL;2939540163;Bergamo;Lombardia;364345;Sistema ARREDAMENTO
ROMANO PUCCI SRL -;1893300507;Pisa;Toscana;363837;Sistema ARREDAMENTO
KARPETA SRL;2314090800;Reggio di Calabria;Calabria;361238;Sistema ARREDAMENTO
OGGIONI SPA;685740961;Monza e della Brianza;Lombardia;352500;Sistema ARREDAMENTO
ESALINEA SRL;735760415;Pesaro Urbino;Marche;349444;Sistema ARREDAMENTO
FALEGNAMERIA ARTISTICA SRL;858870140;Sondrio;Lombardia;347497;Sistema ARREDAMENTO
MC DONALD SRL;963060165;Bergamo;Lombardia;346598;Sistema ARREDAMENTO
IL CENTRO DEL MATERASSO SRL;1206180455;Massa-Carrara;Toscana;346485;Sistema ARREDAMENTO
GIACOMINO ZAM0  SRL;1613120300;Udine;Friuli-Venezia Giulia;344123;Sistema ARREDAMENTO
NUOVA T.A.G. SRL;186320123;Varese;Lombardia;342366;Sistema ARREDAMENTO
NUOVA LINEA SRL;465040301;Udine;Friuli-Venezia Giulia;342321;Sistema ARREDAMENTO
CA  D ORO SRL;2790830240;Vicenza;Veneto;335644;Sistema ARREDAMENTO
DE MARCHI GROUP SRL;499160265;Treviso;Veneto;333919;Sistema ARREDAMENTO
MOBILI FRISINA SRL;767550825;Palermo;Sicilia;333630;Sistema ARREDAMENTO
MOBILIFICIO VITTORIA SRL;194890265;Treviso;Veneto;331562;Sistema ARREDAMENTO
FERRI MOBILI SRL;2149960169;Bergamo;Lombardia;331008;Sistema ARREDAMENTO
ZOPPINI SALOTTI SRL;1981220989;Brescia;Lombardia;330221;Sistema ARREDAMENTO
GIBO SRL;3641440239;Verona;Veneto;324610;Sistema ARREDAMENTO
FRATELLI RADICE SRL;730510963;Monza e della Brianza;Lombardia;320389;Sistema ARREDAMENTO
ARTERAME SRL;1405270289;Padova;Veneto;318550;Sistema ARREDAMENTO
D.E.A.S. SRL;1117940930;Pordenone;Friuli-Venezia Giulia;317648;Sistema ARREDAMENTO
STEDILMAN SRL;921080198;Cremona;Lombardia;315270;Sistema ARREDAMENTO
EUROLISA SRL;2244250300;Udine;Friuli-Venezia Giulia;315020;Sistema ARREDAMENTO
KOSE SRL;1872510985;Milano;Lombardia;314508;Sistema ARREDAMENTO
